Architecture,Dropout,HasResidual,ProtectionLevel,Environment,BaselineAccuracy,RadiationAccuracy,AccuracyPreservation,ExecutionTime,ErrorsDetected,ErrorsCorrected,UncorrectableErrors,BaselineAccuracyStdDev,RadiationAccuracyStdDev,AccuracyPreservationStdDev,MonteCarloTrials
2-64-256-256-2,0.40,Yes,AdaptiveTMR,1,86.41,85.07,98.46,359.07,9,7,2,0.56,0.81,0.67,50
2-64-256-256-2,0.50,No,SpaceOptimized,1,83.45,82.62,99.01,293.78,10,9,1,0.58,0.75,0.64,50
2-64-256-256-2,0.50,Yes,SpaceOptimized,1,85.33,84.58,99.12,293.78,10,9,1,0.59,0.81,0.61,50
2-64-256-256-2,0.60,No,SelectiveTMR,1,82.53,79.19,95.95,244.82,7,4,3,0.61,0.75,0.69,50
2-64-256-256-2,0.60,No,AdaptiveTMR,1,82.45,81.05,98.31,359.07,9,7,2,0.53,0.81,0.75,50
2-64-256-256-2,0.60,No,SpaceOptimized,1,82.51,81.77,99.10,293.78,10,9,1,0.55,0.76,0.68,50
2-64-256-256-2,0.60,Yes,AdaptiveTMR,1,84.30,83.07,98.55,359.07,9,7,2,0.58,0.86,0.68,50
2-64-256-256-2,0.60,Yes,SpaceOptimized,1,84.34,83.48,98.98,293.78,10,9,1,0.56,0.80,0.73,50
2-64-256-512-2,0.30,Yes,SpaceOptimized,1,87.39,86.62,99.12,304.36,10,9,1,0.58,0.82,0.63,50
2-64-256-512-2,0.50,Yes,FullTMR,1,85.54,84.08,98.29,507.27,9,7,2,0.52,0.71,0.66,50
2-64-512-256-2,0.30,Yes,SpaceOptimized,1,87.61,86.88,99.17,306.19,11,9,2,0.60,0.79,0.61,50
2-128-2,0.30,No,SpaceOptimized,1,84.27,83.31,98.86,202.29,5,4,1,0.56,0.80,0.67,50
2-128-2,0.30,Yes,AdaptiveTMR,1,84.37,83.02,98.41,247.24,5,4,1,0.49,0.72,0.77,50
2-128-2,0.30,Yes,SpaceOptimized,1,84.13,83.23,98.93,202.29,5,4,1,0.53,0.76,0.63,50
2-128-2,0.50,No,SpaceOptimized,1,82.34,81.57,99.06,202.29,5,4,1,0.52,0.76,0.67,50
2-128-2,0.50,Yes,SpaceOptimized,1,82.22,81.46,99.07,202.29,5,4,1,0.53,0.77,0.73,50
2-128-2,0.60,Yes,SpaceOptimized,1,81.18,80.40,99.04,202.29,5,4,1,0.58,0.73,0.66,50
2-128-128-32-2,0.30,No,SelectiveTMR,1,85.15,81.75,96.01,224.14,6,3,3,0.64,0.86,0.68,50
2-128-128-32-2,0.60,No,SelectiveTMR,1,82.21,78.92,96.00,224.14,6,3,3,0.61,0.79,0.66,50
2-128-256-2,0.50,Yes,None,1,85.24,76.75,90.04,154.20,2,0,2,0.58,0.75,0.68,50
2-128-256-256-2,0.30,No,SelectiveTMR,1,85.54,82.25,96.15,247.55,7,4,3,0.59,0.68,0.60,50
2-128-256-256-2,0.30,Yes,SpaceOptimized,1,87.36,86.62,99.15,297.06,10,9,1,0.59,0.84,0.64,50
2-128-256-256-2,0.60,Yes,SpaceOptimized,1,84.38,83.63,99.11,297.06,10,9,1,0.63,0.88,0.62,50
2-256-2,0.30,No,ChecksumOnly,1,84.41,77.72,92.07,131.25,2,0,2,0.56,0.74,0.63,50
2-256-2,0.30,No,SelectiveTMR,1,84.69,81.40,96.11,178.97,4,2,2,0.54,0.66,0.66,50
2-256-2,0.30,No,FullTMR,1,84.50,82.86,98.05,357.94,5,4,1,0.55,0.95,0.72,50
2-256-2,0.30,No,AdaptiveTMR,1,84.47,83.18,98.47,262.49,5,4,1,0.57,0.87,0.68,50
2-256-2,0.30,No,SpaceOptimized,1,84.39,83.68,99.16,214.77,5,4,1,0.55,0.81,0.68,50
2-256-2,0.30,Yes,ChecksumOnly,1,84.50,77.76,92.02,131.25,2,0,2,0.55,0.80,0.72,50
2-256-2,0.30,Yes,AdaptiveTMR,1,84.41,83.01,98.35,262.49,5,4,1,0.55,0.84,0.71,50
2-256-2,0.30,Yes,SpaceOptimized,1,84.43,83.65,99.08,214.77,5,4,1,0.65,0.74,0.60,50
2-256-2,0.40,No,ChecksumOnly,1,83.55,76.86,91.99,131.25,2,0,2,0.62,0.76,0.78,50
2-256-2,0.40,No,SpaceOptimized,1,83.60,82.78,99.03,214.77,5,4,1,0.56,0.76,0.68,50
2-256-2,0.40,Yes,ChecksumOnly,1,83.31,76.69,92.06,131.25,2,0,2,0.54,0.75,0.68,50
2-256-2,0.50,No,SpaceOptimized,1,82.45,81.69,99.08,214.77,5,4,1,0.57,0.75,0.67,50
2-256-2,0.50,Yes,AdaptiveTMR,1,82.61,81.29,98.40,262.49,5,4,1,0.57,0.72,0.73,50
2-256-2,0.60,No,SpaceOptimized,1,81.53,80.67,98.95,214.77,5,4,1,0.59,0.84,0.68,50
2-256-2,0.60,Yes,AdaptiveTMR,1,81.52,80.21,98.39,262.49,5,4,1,0.54,0.80,0.70,50
2-256-2,0.60,Yes,SpaceOptimized,1,81.46,80.53,98.86,214.77,5,4,1,0.63,0.88,0.72,50
2-256-32-2,0.40,Yes,AdaptiveTMR,1,86.14,84.81,98.47,309.74,7,5,2,0.53,0.69,0.62,50
2-256-64-2,0.40,Yes,FullTMR,1,86.03,84.20,97.87,442.27,7,5,2,0.58,0.76,0.66,50
2-256-256-32-2,0.40,Yes,SpaceOptimized,1,86.34,85.38,98.89,291.89,10,9,1,0.60,0.81,0.57,50
2-256-256-256-2,0.30,Yes,FullTMR,1,87.37,85.57,97.94,503.74,9,7,2,0.57,0.80,0.60,50
2-256-256-256-2,0.30,Yes,SpaceOptimized,1,87.50,86.72,99.11,302.24,10,9,1,0.63,0.92,0.66,50
2-256-256-512-2,0.60,No,SelectiveTMR,1,82.42,79.11,95.98,257.95,8,4,4,0.51,0.76,0.69,50
2-256-512-128-2,0.60,No,AdaptiveTMR,1,82.49,81.27,98.53,378.24,10,8,2,0.54,0.86,0.75,50
2-512-2,0.30,No,SpaceOptimized,1,84.64,83.80,99.02,227.24,6,5,1,0.54,0.85,0.68,50
2-512-2,0.30,Yes,SpaceOptimized,1,84.84,84.01,99.02,227.24,6,5,1,0.59,0.83,0.71,50
2-512-2,0.50,No,None,1,82.61,74.33,89.98,126.25,1,0,1,0.52,0.76,0.66,50
2-512-2,0.60,No,SpaceOptimized,1,81.66,80.80,98.95,227.24,6,5,1,0.52,0.61,0.65,50
2-512-2,0.60,Yes,SpaceOptimized,1,81.65,80.78,98.93,227.24,6,5,1,0.59,0.80,0.69,50
2-512-64-256-2,0.40,Yes,ChecksumOnly,1,86.23,79.34,92.01,174.17,3,0,3,0.57,0.71,0.62,50
2-512-128-512-2,0.30,No,ChecksumOnly,1,85.51,78.68,92.01,184.79,3,0,3,0.54,0.78,0.67,50
2-512-256-2,0.60,No,AdaptiveTMR,1,82.33,81.04,98.44,369.49,9,7,2,0.53,0.71,0.70,50
2-512-256-256-2,0.30,No,SpaceOptimized,1,85.44,84.60,99.02,309.54,11,9,2,0.60,0.90,0.66,50
2-512-256-256-2,0.30,Yes,None,1,87.63,78.75,89.86,171.97,2,0,2,0.54,0.74,0.65,50
2-512-256-256-2,0.30,Yes,ChecksumOnly,1,87.61,80.58,91.98,189.16,4,0,4,0.57,0.74,0.63,50
2-512-256-256-2,0.30,Yes,SpaceOptimized,1,87.57,86.63,98.93,309.54,11,9,2,0.61,0.89,0.70,50
2-512-256-256-2,0.60,No,SpaceOptimized,1,82.45,81.58,98.94,309.54,11,9,2,0.57,0.86,0.68,50
2-512-256-256-2,0.60,Yes,SelectiveTMR,1,84.40,81.11,96.10,257.95,8,4,4,0.61,0.90,0.66,50
2-512-256-256-2,0.60,Yes,SpaceOptimized,1,84.40,83.53,98.98,309.54,11,9,2,0.58,0.74,0.65,50
2-512-256-512-2,0.50,No,FullTMR,1,83.54,81.81,97.93,524.53,10,8,2,0.51,0.65,0.61,50
